school	major	degree	season	decision	gpa	status	GRE_AW	GRE_V	GRE_Quant
California State University, Los Angeles	Speech Language Pathology	Masters	Fall 2022	Rejected		American			
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Rejected	3.88	International			168.0
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Rejected	4.0	American	4.5	163.0	170.0
Stanford University	History	PhD	Fall 2022	Accepted		International			
University Of British Columbia	Clinical Psychology	Masters	Fall 2022	Rejected	0.97	International			
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Rejected		International	4.5	156.0	168.0
Radford University	School Psychology	Masters	Fall 2022	Interview		American			
Northwestern University	Philosophy	PhD	Fall 2022	Rejected	3.87	American			
University Of Arizona	School Psychology	Masters	Fall 2022	Interview		American			
University Of Texas At Austin	Finance	PhD	Fall 2022	Wait listed		American			
University Of California Berkeley	History Of Art	PhD	Fall 2022	Wait listed		American			
University Of Texas At Dallas	Audiology	Other	Fall 2022	Interview	3.96	American	6.0	160.0	164.0
University Of California, Berkeley	History Of Art	PhD	Fall 2022	Rejected		International			
University Of California, Irvine	Computer Science	Masters	Fall 2022	Accepted	8.82	International	4.5	159.0	170.0
Washington University In St. Louis (WashU/WUSTL)	Musicology	PhD	Fall 2022	Rejected		American			
University Of Redlands	Speech Language Pathology	Masters	Fall 2021	Accepted	3.9	American			
Washington University In St. Louis (WashU/WUSTL)	Musicology	PhD	Fall 2022	Rejected	3.88	American			
Portland State University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.77	American			
Western Washington University	Speech Language Pathology	Masters	Fall 2022	Wait listed	3.77	American			
Pratt Institute	Information Experience Design	Masters	Fall 2022	Rejected	3.0	International			
University Of South Carolina	Biostatistics	PhD	Fall 2022	Accepted		International			
The Savannah College Of Art And Design	Service Design	MFA	Fall 2022	Accepted	2.19	International			
New Mexico State University	Clinical Mental Health Counseling	Masters	Fall 2022	Accepted		American			
University Of California, Berkeley	History Of Art	PhD	Fall 2022	Wait listed		International			
Stanford University	STEP	Masters	Fall 2022	Accepted	3.14	American			
The Wright Institute	Counseling Psychology	Masters	Fall 2022	Interview		American			
ETH Zurich - Swiss Federal Institute Of Technology	Computer Science	Masters	Fall 2022	Accepted	3.95	International	4.0	155.0	166.0
Purdue University - West Lafayette	Physics	PhD	Fall 2022	Rejected		International			
Old Dominion University	Speech Language Pathology	Masters	Fall 2022	Wait listed	3.85	American	5.0	151.0	152.0
University Of California, San Diego	International Affairs	Masters	Fall 2022	Accepted	3.9	American			
University Of Oklahoma	Medical Physics	Masters	Fall 2022	Accepted	3.65	American	5.5	159.0	166.0
University Of Memphis	Philosophy	PhD	Spring 2022	Accepted		American			
Tufts University	Physics	PhD	Fall 2022	Rejected		International			
Colorado State University	Clinical Mental Health Counseling	Masters	Fall 2022	Rejected		American			
NYU Tisch	ITP	Masters	Fall 2022	Accepted		American			
University Of Washington	Music History	Masters	Fall 2022	Accepted	3.88	American			
Ohio State University	Mechanical Engineering	Masters	Fall 2022	Rejected		International	4.0	158.0	162.0
University Of Michigan (Ann Arbor)	Musicology	PhD	Fall 2022	Wait listed	3.88	American			
University Of Massachusetts, Amherst	Chemical Engineering	PhD	Fall 2022	Accepted		International			
Portland State University	Speech Language Pathology	Masters	Fall 2022	Accepted		International			
University Of Kentucky	Clinical Psychology	PhD	Fall 2022	Accepted		American			
New York University	Political Science	PhD	Fall 2022	Wait listed	3.82	International	5.0	163.0	166.0
New York University, Tish	ITP	Masters	Fall 2022	Rejected	3.8	International			
University Of Alabama At Birmingham	Clinical Psychology	PhD	Fall 2022	Wait listed		International			
University Of British Columbia	Linguistics	PhD	Fall 2022	Accepted		International			
Princeton University	Neuroscience	PhD	Fall 2022	Accepted	3.81	International			
Baylor College Of Medicine	Neuroscience	PhD	Fall 2022	Wait listed		International			
Poop Institute Of Pee Studies	Pooposophy	PhD	Fall 2022	Accepted	4.0	American			
University Of Nebraska At Kearney	Speech Language Pathology	Masters	Fall 2022	Accepted	3.7	American	4.0	147.0	147.0
Northwestern University	Creative Writing Fiction	MFA	Fall 2022	Rejected	3.9	American			
Washington University In St. Louis (WashU/WUSTL)	Creative Writing	MFA	Fall 2022	Rejected	3.9	American			
University Of Massachusetts, Amherst	Creative Writing	MFA	Fall 2022	Rejected	3.9	American			
University Of California, Irvine	Psychology	PhD	Fall 2022	Accepted		American			
Harvard University	Physics	PhD	Fall 2022	Interview		American			
University Of Toronto	Philosophy	PhD	Fall 2022	Rejected		International			
APRN, UCLA	Nursing	Masters	Fall 2022	Accepted	3.43	American			
Brooklyn College	Speech Language Pathology	Masters	Fall 2022	Interview	3.8	American	4.5	147.0	145.0
Brown University	Art History	PhD	Fall 2022	Rejected		International			
Penn State University	School Counseling	Masters	Fall 2022	Interview	3.94	American			
Loyola University Chicago	Philosophy	PhD	Fall 2022	Rejected		American			
University Of California, Irvine	Biomedical Engineering	Masters	Fall 2022	Accepted		International			
University Of California, San Diego	Bioengineering	Masters	Fall 2022	Accepted		International			
University Of California, Santa Cruz	Anthropology	PhD	Fall 2022	Accepted	3.99	International			
University Of California, Berkeley	Nuclear Engineering	Masters	Fall 2022	Wait listed		International			
Northwestern University	Chemistry	PhD	Fall 2022	Rejected	3.6	American	4.5	156.0	162.0
University Of Maryland	Audiology	Other	Fall 2022	Rejected		American			
Baruch College	Mental Health Counseling	Masters	Fall 2022	Accepted	3.8	American			
Rutgers Universityâ€“New Brunswick	Industrial Relations	PhD	Fall 2022	Accepted		International			
University Of California, Davis	Communication	PhD	Fall 2022	Accepted		International			
University Of California, Los Angeles	Bioinformatics	PhD	Fall 2022	Interview	4.0	American			
Purdue University - West Lafayette	Pulse	PhD	Fall 2022	Wait listed	3.21	International			
University Of Illinois, Chicago (UIC)	Computer Science	Masters	Fall 2022	Rejected	3.25	International		140.0	156.0
Syracuse University	Physics	PhD	Fall 2022	Accepted		American			
Duke University	Electrical And Computer Engineering	PhD	Fall 2022	Interview		American			
Colorado School Of Mines	Physics	PhD	Fall 2022	Accepted		American			
University Of Tennessee	Experimental Psychology	PhD	Fall 2022	Rejected		American			
University Of Washington	Political Science	PhD	Fall 2022	Accepted	3.7	International			167.0
Purdue University - West Lafayette	Mathematics	PhD	Fall 2022	Accepted	3.87	International			
Purdue University - West Lafayette	Mathematics	PhD	Fall 2022	Accepted		International			
Arizona State University	Economics	PhD	Fall 2022	Interview		International	4.0	158.0	170.0
University Of Pennsylvania	French And Francophone Studies	PhD	Fall 2022	Interview		American			
London School Of Economics & Political Science (LSE)	Management	PhD	Fall 2022	Interview		International			
Columbia University	Statistics	PhD	Fall 2022	Interview		International			
Arizona State University	Economics	PhD	Fall 2022	Interview		International			
Princeton University	Physics	PhD	Fall 2022	Accepted	4.0	International			
Boston University	Classics And Philosophy	PhD	Fall 2022	Wait listed	3.85	American	5.0	167.0	152.0
Stanford University	Psychology	PhD	Fall 2022	Accepted		International			
University Of Pennsylvania	History	PhD	Fall 2022	Rejected		American			
Brown University	Chemistry	PhD	Fall 2021	Rejected		International			
Yale University	Epidemiology	PhD	Fall 2022	Rejected	3.81	International			
Yale University	Chronic Disease Epidemiology	PhD	Fall 2022	Rejected		American			
Yale School Of Public Health	Health Policy And Management	PhD	Fall 2022	Rejected		International	3.5	158.0	168.0
Northwestern University	Economics	PhD	Fall 2022	Wait listed		American			
Northwestern University	Economics	PhD	Fall 2022	Wait listed		International			
Ryerson University	Philosophy	Masters	Fall 2022	Wait listed		International			
University Of Kansas	Speech Language Pathology	Masters	Fall 2022	Accepted	3.87	American			
Georgia Institute Of Technology	Robotics	Masters	Fall 2022	Rejected	3.9	International	4.0	156.0	163.0
University Of Rochester	English	Masters	Fall 2022	Accepted	3.84	American			
University Of California, Berkeley	Electrical And Computer Engineering	PhD	Fall 2022	Rejected	3.8	International	5.0		169.0
Simmons University	Library And Information Science	Masters	Fall 2022	Accepted	3.0	American			
New York University	Physics	Other	Fall 2022	Wait listed		Other			
SUNY Stony Brook	Physics	PhD	Fall 2022	Rejected	3.67	American			
IUPUI	HCI	Masters	Fall 2022	Accepted		International			
University Of Pittsburgh	Public Administration	Masters	Fall 2022	Accepted	3.96	American			
Columbia University	Philosophy	PhD	Fall 2022	Wait listed	4.0	International	6.0	163.0	153.0
University Of Florida	English	PhD	Fall 2022	Rejected	4.0	American			
Rhetoric And Composition, North Carolina State University	English	Masters	Fall 2022	Accepted		American			
Central Michigan University	Speech Language Pathology	Masters	Fall 2022	Accepted		American			
Georgia Institute Of Technology	Robotics	Masters	Fall 2022	Rejected	3.94	International	4.0	159.0	168.0
Duke University	Public Policy	PhD	Fall 2022	Rejected	3.65	American		167.0	170.0
Baldwin Wallace University	Speech Language Pathology	Masters	Fall 2022	Accepted		American			
University Of Utah	Chemistry	PhD	Fall 2022	Rejected		International			
California State University, Stanislaus	Psychology	Masters	Fall 2022	Interview	3.5	American			
Vanderbilt University	Biological Sciences	PhD	Fall 2022	Accepted		American			
Georgia Institute Of Technology	Robotics	Masters	Fall 2022	Rejected	3.61	American	5.0	160.0	158.0
Johns Hopkins SAIS	MAIR	Masters	Fall 2022	Accepted	3.7	American			
Columbia University	Latin American And Iberian Cultures	PhD	Fall 2022	Accepted		International			
Duke University	Public Policy	PhD	Fall 2022	Wait listed		International			
University Of Texas At Austin	Speech Language Pathology	Masters	Fall 2022	Rejected	4.0	American			
SAIS, Johns Hopkins University	MAIR	Masters	Fall 2022	Wait listed	3.13	International	4.0	158.0	169.0
Carnegie Mellon University	Civil And Environmental Engineering	Masters	Fall 2022	Accepted	7.5	International			
Carnegie Mellon University	MSPPM DA	Masters	Fall 2022	Accepted	4.0	American	6.0	166.0	165.0
ETH Zurich - Swiss Federal Institute Of Technology	Electrical Engineering	PhD	Fall 2022	Accepted	3.73	International	4.0	162.0	170.0
Columbia University	Electrical Engineering	PhD	Fall 2022	Accepted	3.73	International	4.0	162.0	170.0
University Of Texas At Austin	Speech Language Pathology	Masters	Fall 2022	Accepted					
Boston College	School Counseling	Masters	Fall 2022	Accepted	3.95	American			
University Of Maryland	Economics	PhD	Fall 2022	Accepted		International			
Carnegie Mellon University	MSPPM - Data Analytics	Masters	Fall 2022	Accepted	3.6	American		164.0	168.0
University Of British Columbia	Finance	Other	Fall 2022	Rejected		Other			
St. Ambrose University	Speech Language Pathology	Masters	Fall 2021	Interview	3.72	American			
University Of Kentucky	Clinical Psychology	PhD	Fall 2022	Rejected	3.34	American			
Yale University	Comparative Literature	PhD	Fall 2022	Rejected		International			
Yale University	Environmental Studies	PhD	Fall 2022	Rejected	3.53	American	4.5		
University Of Texas At Austin	Economics	PhD	Fall 2022	Interview		International			
University Of Ottawa	MEd Counselling Psychology (MRP)	Masters	Fall 2022	Wait listed	3.71				
Montclair State University	Audiology	Other	Fall 2022	Accepted	4.0	American			
Drexel University	Microbiology And Immunology	PhD	Fall 2022	Accepted	3.86	American			
Florida Atlantic University	Communication Sciences And Disorders	Masters	Fall 2022	Accepted	3.71	American	4.0	152.0	149.0
Columbia University	Social Work	PhD	Fall 2022	Rejected	3.9	American			
Northeastern University	English	PhD	Fall 2022	Wait listed		American			
Northern Arizona University	Mathematics	Masters	Fall 2022	Accepted	3.96	International			
California State University, Monterey Bay	Speech Language Pathology	Masters	Fall 2022	Interview	3.73	American			
Cornell University	Microbiology	PhD	Fall 2022	Accepted		American			
UT Austin	Economics	PhD	Fall 2022	Accepted		International			
University Of Texas At Austin	Psychology	PhD	Fall 2022	Accepted		American			
University Of Colorado, Boulder	Political Science	PhD	Fall 2022	Rejected	3.89	International			
University Of California, Davis	Food Science	PhD	Fall 2022	Rejected	3.93	International			
Yale	Combined Environment / Anthropology	PhD	Spring 2022	Rejected		American			
Duquesne University	History	Masters	Fall 2022	Accepted	3.45	International			
Duq	Hi	Masters	Fall 2022	Accepted	3.45	International			
Yale University	Comparative Literature	PhD	Fall 2022	Rejected		International			
University Of Illinois	Economics	PhD	Fall 2022	Accepted		International			
Boston University	Special Education And Social Work Dual Degree	Masters	Fall 2022	Accepted	3.92	International	4.5	161.0	162.0
Johns Hopkins University	Environmental Health	PhD	Fall 2022	Accepted	3.96	American			
Loyola University Maryland	Clinical Psychology		Fall 2022	Interview		American			
Boston College	Special Education Moderate Needs	Masters	Fall 2022	Accepted	3.92	International	4.5	161.0	162.0
University Of Utah	City And Metropolitan Planning	Masters	Fall 2022	Accepted	3.95	International			
